Id;Stanice;TUDU;Km;GPS
7;Chornice;1911G1;40.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7456994448768,49.6760733328925,'null'),'null','null')
1;Trutnov hl.n.;1401O1;124.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9061605554157,50.567672777772,'null'),'null','null')
8;Meziho¯Ì;191114;43.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7420797220866,49.7032899999619,'null'),'null','null')
9;Nectava;191128;36.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7804597218831,49.6574047221078,'null'),'null','null')
10;äubÌ¯ov;191112;32.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.8173749999868,49.6268058331807,'null'),'null','null')
11;JevÌËko;2021B1;6.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7299691666497,49.6323680559794,'null'),'null','null')
12;Biskupice u Jev.;202102;3.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7449427774217,49.6496991666158,'null'),'null','null')
14;MÏsteËko Trn·vka;1911H1;45.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.724750000106,49.714437221951,'null'),'null','null')
15;Rozst·nÌ;191116;47.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7302966668871,49.7281947220696,'null'),'null','null')
16;MladÏjov na M.;1911K1;66.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5885072220696,49.8260391669803,'null'),'null','null')
17;Anensk· Stud·nka;191122;70.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5565416664547,49.8545577780406,'null'),'null','null')
18;KunËina;191118;61;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6379505554835,49.7962866666582,'null'),'null','null')
19;TrpÌk;191122;69.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5696647222837,49.8451622221205,'null'),'null','null')
20;Moravsk· T¯ebov·;1911I1;56.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6663583331638,49.7668486111032,'null'),'null','null')
21;Linhartice;191116;52.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7129055553012,49.7519238889217,'null'),'null','null')
22;Kr·lovec st.hr.;165116;62.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9847186111079,50.6862305556403,'null'),'null','null')
23;Lichkov st.hr.;130238;113.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6911761109034,50.0985025003221,'null'),'null','null')
24;MezimÏstÌ st.hr.;156126;92.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2203291667832,50.6363586110539,'null'),'null','null')
26;P¯ev˝öov;1301E1;18.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.407177500195,50.1523847222328,'null'),'null','null')
27;Chlumec n.C.;1301F1;22.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4580369446013,50.1632452774048,'null'),'null','null')
28;N.MÏsto n.C.;1302B1;3.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5037719445758,50.150406666663,'null'),'null','null')
29;K·ranice;1302C1;8.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5616813892788,50.1551597224342,'null'),'null','null')
30;Dob¯enice;1302D1;14.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6559783331553,50.159619167116,'null'),'null','null')
31;Kratonohy;130206;11.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6106338893043,50.1575299999449,'null'),'null','null')
32;Lhota p.LibË.;130208;17.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6959311114417,50.1666344441308,'null'),'null','null')
33;PraskaËka;1302E1;20.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7323555554284,50.1754058334562,'null'),'null','null')
34;Hradec Kr·lovÈ hl.n.;1302F1;22.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8103944439358,50.2165480560727,'null'),'null','null')
35;Hr.Kr·lovÈ-Kukleny;130240;26.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7981227779388,50.2020636110836,'null'),'null','null')
36;Hr.Kr·lovÈ-Sl.P¯.;1302G1;32.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.856356944508,50.2219441668193,'null'),'null','null')
37;Hr.Kr·lovÈ zast.;130212;30.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8413827779558,50.2224400001102,'null'),'null','null')
38;T¯ebechovice p.Or.;1302H1;41.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9786252774133,50.2015016667048,'null'),'null','null')
39;Bleöno;130214;37.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9358952776591,50.2147327772776,'null'),'null','null')
40;T˝niötÏ n.Orl.;1302I1;49.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0746638891432,50.1543658333355,'null'),'null','null')
41;Petrov.n.Orl.;130216;46.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.046060555776,50.1737433332867,'null'),'null','null')
42;»astolovice;1302J1;57.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.173788333469,50.1284544446733,'null'),'null','null')
43;»estice;130218;55.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1477783330282,50.1303372224172,'null'),'null','null')
44;»astolovice zast.;131102;1.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.190552500089,50.1276386112637,'null'),'null','null')
45;Synkov;131102;3.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2182458333174,50.1392919445038,'null'),'null','null')
46;Kostelec n.Orl.;1302K1;61.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2215169445674,50.117670833336,'null'),'null','null')
47;Kostelec n.Orl.m.;130220;60.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2054519446691,50.1197322222922,'null'),'null','null')
48;Doudleby n.Orl.;1302L1;64.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2602294445038,50.1090866671668,'null'),'null','null')
49;Z·mÏl;130224;67.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2970486111111,50.100170277771,'null'),'null','null')
50;Potötejn;1302M1;69.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.315278055403,50.083793611096,'null'),'null','null')
51;Sopotnice;130226;72.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3404080555174,50.0705022221141,'null'),'null','null')
52;Litice n.Orl.;1302N1;75.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3581136110094,50.0871774999301,'null'),'null','null')
53;Bohousov·;130228;76.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.379663611518,50.090854722129,'null'),'null','null')
54;éamberk;1302O1;83;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4524122222265,50.0732994445165,'null'),'null','null')
55;Letohrad;1302P1;90;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5103013886346,50.0305930550893,'null'),'null','null')
56;Lukavice v ».;130230;87.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4840536110931,50.0493725003136,'null'),'null','null')
57;VermÏ¯ovice;130232;95.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5576969443427,50.0114811113146,'null'),'null','null')
58;D.DobrouË;159102;3.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4743555556403,50.0125719441308,'null'),'null','null')
59;Hn·tnice;159102;5.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4615124999152,50.0016933333874,'null'),'null','null')
60;Lanöperk;1591B1;6.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4468294440375,49.9924047226376,'null'),'null','null')
61;D.Libchavy;159104;10.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.397113333808,49.9893902778626,'null'),'null','null')
62;JablonnÈ n.Orl.;1302Q1;99.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5946341662937,50.0263833332062,'null'),'null','null')
63;JamnÈ n.Orl.;130234;101;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6027122222053,50.0400455554326,'null'),'null','null')
64;TÏchonÌn;1302R1;104.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6076977777481,50.068518055545,'null'),'null','null')
65;Lichkov;1302S1;110.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6601855553521,50.0975605551402,'null'),'null','null')
66;»ernovÌr;159104;8.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4270452774896,49.987050277657,'null'),'null','null')
67;Mladkov;130236;108.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6297769440545,50.0922416665819,'null'),'null','null')
68;D.Lipka;1331E1;90.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7212086110645,50.0894427776337,'null'),'null','null')
69;Prost¯ednÌ Lipka;133108;86.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7543219444487,50.0989888890584,'null'),'null','null')
70;»erven˝ Potok;1331D1;84.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7837199999889,50.104725833469,'null'),'null','null')
71;ÿeËany n.L.;1501L1;326.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4772408337063,50.0316102780236,'null'),'null','null')
72;Kr·lÌky zast.;134102;2.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7488958337572,50.0867200001081,'null'),'null','null')
73;Kojice;150124;332.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.397082778083,50.0408755556742,'null'),'null','null')
74;Kr·lÌky;1341C1;3.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7560841666328,50.0812872219086,'null'),'null','null')
75;Chvaletice;150124;330.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4189125000106,50.037471666601,'null'),'null','null')
76;D.Orlice;134106;4.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7473630555471,50.0656041664547,'null'),'null','null')
77;P¯elouË;1501K3;319.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5764122221205,50.0390702777439,'null'),'null','null')
78;»erven· Voda;1341D1;7.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7464894443088,50.047165555954,'null'),'null','null')
79;Lhota p.P¯el.;150122;322.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5276075002882,50.0367441667451,'null'),'null','null')
80;Moravsk˝ Karlov;1341E1;9.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7527938887808,50.0265594440036,'null'),'null','null')
81;Valy u P¯el.;150146;316.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6143291664124,50.0318891663022,'null'),'null','null')
82;BÌl· Voda;1341F1;10.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7476069439782,50.0173502777682,'null'),'null','null')
83;Ml˝nick˝ Dv˘r;134112;12.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7477841663361,50.004427500036,'null'),'null','null')
84;Broumov;1562C1;10;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3453183333079,50.5695516665777,'null'),'null','null')
85;Pardubice hl.n.;1501J1;305.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7595755555895,50.0316555553012,'null'),'null','null')
86;Pardubice-OpoËÌnek;150120;312.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6683738888635,50.0306108336978,'null'),'null','null')
87;Otovice zast.;156206;14.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3869930556085,50.560096666548,'null'),'null','null')
88;Pardubice-SvÌtkov;150120;308.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7240075000127,50.0319411108229,'null'),'null','null')
89;Otovice;156206;13.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3720158333249,50.5611805555556,'null'),'null','null')
90;Pardubice-Pardub.;150118;303.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7893444442749,50.0312197219001,'null'),'null','null')
91;Broumov-OlivÏtÌn;1562B1;6.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3284388891856,50.6077216667599,'null'),'null','null')
92;KostÏnice;1501I1;295.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8977691671583,50.0128127776252,'null'),'null','null')
93;Pardubice-».za B.;150118;300.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8306191666921,50.0274116664463,'null'),'null','null')
94;Moravany;1501H1;291.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9473352781932,50.0019994444317,'null'),'null','null')
95;Uhersko;1501G1;286.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0159316666921,49.9871819443173,'null'),'null','null')
96;Z·mrsk;1501F1;279.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1135980553097,49.9954788886176,'null'),'null','null')
97;SedlÌöùka;150112;282.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0641680558523,49.9900916666455,'null'),'null','null')
98;MezimÏstÌ;1561M1;90.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2423883332147,50.6265200000339,'null'),'null','null')
99;Dob¯Ìkov u Choc.;150110;277.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1363716665904,49.9957716666328,'null'),'null','null')
100;HynËice;156202;3.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2887797223197,50.6243133332994,'null'),'null','null')
101;Ruprechtice;156202;1.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2680491667324,50.6248627779219,'null'),'null','null')
102;B¯ezov· u Broum.;156122;87.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2347930555873,50.6048605553309,'null'),'null','null')
103;BohdaöÌn;156122;85.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2107949998644,50.5968819448683,'null'),'null','null')
104;Teplice n.Met.;1561K1;82.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1794199996524,50.582052499983,'null'),'null','null')
105;».Metuje;156118;78.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1847080555227,50.552324722343,'null'),'null','null')
106;DÏdov;156120;79.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1879269446267,50.5616505559285,'null'),'null','null')
107;Police n.Met.;1561I1;72.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2120313888126,50.5115733337402,'null'),'null','null')
108;éÔ·r n.Met.;156118;75.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2041300000085,50.537393055492,'null'),'null','null')
109;ChoceÚ;1501E1;271;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2232972224553,49.9936461109585,'null'),'null','null')
110;Hronov;1561H1;67.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1783483335707,50.4702219443851,'null'),'null','null')
111;Sruby;150110;275.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1711002779007,49.9898388889101,'null'),'null','null')
112;Hronov zast.;156116;69.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1860611110263,50.4900919442707,'null'),'null','null')
113;Dvo¯isko;158108;2.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1921052779092,49.9842477777931,'null'),'null','null')
114;N·chod;1561G1;60.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1758569441901,50.4182850000593,'null'),'null','null')
115;Brand˝s n.Orl.;1501D3;266.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2840502778027,50.000228611115,'null'),'null','null')
116;N·chod-MalÈ Po¯ÌËÌ;156114;63.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1926319440206,50.4415786112679,'null'),'null','null')
117;V.Po¯ÌËÌ;156114;65.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1854802778032,50.4570830557081,'null'),'null','null')
118;Bezpr·vÌ;150106;262.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.332210000356,49.99764111095,'null'),'null','null')
119;N·chod-BÏloves;156114;62;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1919638888041,50.4269036112891,'null'),'null','null')
120;⁄stÌ n.Orl.;1501C1;256.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3779625002543,49.9711488887999,'null'),'null','null')
